Time	Channel A
(s)	(V)

1.97067060	0.03746309
1.97200394	0.03746309
1.97333727	0.03746309
1.97467061	0.03746309
1.97600395	0.03746309
1.97733728	0.03746309
1.97867062	0.03746309
1.98000395	0.03746309
1.98133729	0.03746309
1.98267063	0.05622539
1.98400396	0.05622539
1.98533730	0.05622539
1.98667063	0.03746309
1.98800397	0.01870079
1.98933731	0.03746309
1.99067064	0.03746309
1.99200398	0.03746309
1.99333731	0.05622539
1.99467065	0.03746309
1.99600399	0.05622539
1.99733732	0.05622539
1.99867066	0.03746309
2.00000399	0.03746309
2.00133733	0.03746309
2.00267067	0.03746309
2.00400400	0.05622539
2.00533734	0.03746309
2.00667067	0.05622539
2.00800401	0.03746309
2.00933735	0.03746309
2.01067068	0.05622539
2.01200402	0.03746309
2.01333735	0.03746309
2.01467069	0.05622539
2.01600403	0.03746309
2.01733736	0.05622539
2.01867070	0.03746309
2.02000403	0.05622539
2.02133737	0.05622539
2.02267071	0.05622539
2.02400404	0.05622539
2.02533738	0.05622539
2.02667071	0.05622539
2.02800405	0.05622539
2.02933739	0.05622539
2.03067072	0.05622539
2.03200406	0.05622539
2.03333739	0.05622539
2.03467073	0.05622539
2.03600407	0.05622539
2.03733740	0.05622539
2.03867074	0.05622539
2.04000407	0.05622539
2.04133741	0.05622539
2.04267075	0.03746309
2.04400408	0.05622539
2.04533742	0.05622539
2.04667075	0.05622539
2.04800409	0.05622539
2.04933743	0.05622539
2.05067076	0.05622539
2.05200410	0.05622539
2.05333743	0.05622539
2.05467077	0.05622539
2.05600411	0.03746309
2.05733744	0.05622539
2.05867078	0.05622539
2.06000411	0.05622539
2.06133745	0.05622539
2.06267079	0.05622539
2.06400412	0.05622539
2.06533746	0.05622539
2.06667079	0.05622539
2.06800413	0.05622539
2.06933747	0.05622539
2.07067080	0.05622539
2.07200414	0.05622539
2.07333747	0.05622539
2.07467081	0.05622539
2.07600415	0.05622539
2.07733748	0.05622539
2.07867082	0.05622539
2.08000415	0.05622539
2.08133749	0.05622539
2.08267083	0.05622539
2.08400416	0.05622539
2.08533750	0.05622539
2.08667083	0.05622539
2.08800417	0.05622539
2.08933751	0.05622539
2.09067084	0.05622539
2.09200418	0.01870079
2.09333751	0.05622539
2.09467085	0.05622539
2.09600419	0.05622539
2.09733752	0.03746309
2.09867086	0.05622539
2.10000419	0.05622539
2.10133753	0.05622539
2.10267087	0.05622539
2.10400420	0.05622539
2.10533754	0.05622539
2.10667087	0.05622539
2.10800421	0.05622539
2.10933755	0.05622539
2.11067088	0.05622539
2.11200422	0.05622539
2.11333755	0.05622539
